Cable ID,Injected,Failed,Age_at_first_Fault,1km bins 
479,0,0,0,0-1000
480,0,0,0,4000-5000
481,0,0,0,0-1000
482,0,0,0,0-1000
483,0,0,0,0-1000
484,0,0,0,0-1000
485,0,0,0,5000-max
486,0,0,0,0-1000
487,0,0,0,0-1000
488,0,0,0,0-1000
489,0,0,0,0-1000
490,0,0,0,0-1000
491,0,0,0,0-1000
492,0,0,0,0-1000
493,0,0,0,0-1000
494,0,0,0,0-1000
495,0,0,0,0-1000
496,0,0,0,0-1000
497,0,0,0,0-1000
498,0,0,0,0-1000
499,0,0,0,0-1000
500,0,1,43,1000-2000
501,0,1,9,1000-2000
502,0,0,0,0-1000
503,0,0,0,0-1000
504,0,0,0,0-1000
505,1,0,0,0-1000
506,0,0,0,1000-2000
507,0,0,0,0-1000
508,0,0,0,3000-4000
509,0,0,0,0-1000
510,0,0,0,0-1000
511,0,0,0,0-1000
512,0,0,0,0-1000
513,0,0,0,0-1000
514,0,0,0,0-1000
515,0,0,0,0-1000
516,0,0,0,0-1000
517,0,1,31,0-1000
518,0,0,0,0-1000
519,0,0,0,0-1000
520,0,0,0,0-1000
521,0,0,0,0-1000
522,0,0,0,0-1000
523,0,0,0,0-1000
524,0,0,0,0-1000
525,0,0,0,0-1000
526,0,0,0,0-1000
527,0,0,0,0-1000
528,0,0,0,0-1000
529,0,0,0,0-1000
530,0,0,0,0-1000
531,0,0,0,0-1000
532,0,1,12,1000-2000
533,0,0,0,0-1000
534,0,0,0,5000-max
535,0,0,0,0-1000
536,0,0,0,0-1000
537,0,0,0,0-1000
538,0,0,0,0-1000
539,0,0,0,0-1000
540,0,0,0,0-1000
541,0,0,0,0-1000
542,0,0,0,0-1000
543,0,0,0,0-1000
544,0,0,0,0-1000
545,0,0,0,0-1000
546,0,0,0,0-1000
547,0,0,0,0-1000
548,0,0,0,1000-2000
549,1,0,0,1000-2000
550,0,0,0,0-1000
551,0,1,24,1000-2000
552,0,0,0,0-1000
553,0,0,0,0-1000
554,0,0,0,0-1000
555,0,0,0,0-1000
556,0,0,0,0-1000
557,0,0,0,0-1000
558,1,0,0,1000-2000
559,0,0,0,0-1000
560,0,0,0,2000-3000
561,0,0,0,1000-2000
562,0,0,0,0-1000
563,0,0,0,0-1000
564,0,0,0,0-1000
565,0,0,0,0-1000
566,0,0,0,0-1000
567,0,0,0,0-1000
568,0,0,0,0-1000
569,0,0,0,4000-5000
570,0,0,0,0-1000
571,0,0,0,5000-max
572,0,0,0,3000-4000
573,0,0,0,0-1000
574,0,0,0,0-1000
575,0,0,0,0-1000
576,0,0,0,0-1000
577,0,0,0,0-1000
578,0,0,0,0-1000
579,0,0,0,0-1000
580,0,0,0,0-1000
581,0,0,0,0-1000
582,0,0,0,0-1000
583,0,0,0,0-1000
584,0,0,0,0-1000
585,0,0,0,0-1000
586,1,1,31,1000-2000
587,0,0,0,0-1000
588,0,0,0,0-1000
589,0,0,0,1000-2000
590,0,0,0,0-1000
591,1,0,0,4000-5000
592,0,0,0,0-1000
593,0,0,0,0-1000
594,0,0,0,0-1000
595,0,0,0,0-1000
596,0,0,0,0-1000
597,0,0,0,0-1000
598,0,0,0,0-1000
599,0,0,0,0-1000
600,0,0,0,0-1000
601,0,0,0,0-1000
602,0,0,0,0-1000
603,0,0,0,5000-max
604,1,0,0,0-1000
605,0,0,0,0-1000
